TF	Gene
ATF4	FOSB
ATF4	GAS5
ATF4	GBAP1
ATF4	GFM1
ATF4	GOLGA6L9
ATF4	GPR1
ATF4	GSTM2
ATF4	GTF3C1
ATF4	GVINP1
ATF4	GZF1
ATF4	HAS1
ATF4	HBM
ATF4	HIC2
ATF4	HIST1H2AG
ATF4	HIST1H2BF
ATF4	HIST1H2BJ
ATF4	HIST1H2BK
ATF4	HIST1H3D
ATF4	HIST1H4A
ATF4	HIST1H4H
ATF4	HLA-DQA2
ATF4	HSPA5
ATF4	IFT43
ATF4	IGHV1OR15-3
ATF4	IL13
ATF4	INPP5A
ATF4	IRGQ
ATF4	JUND
ATF4	KIAA1143
ATF4	LACTB2
ATF4	LARS2
ATF4	LCMT1
ATF4	LINC00942
ATF4	LINC00992
ATF4	MAD2L2
ATF4	MAGEC1
ATF4	MAGOH
ATF4	MED27
ATF4	MIF
ATF4	MOAP1
ATF4	MYLPF
ATF4	NACAD
ATF4	NAP1L4
ATF4	NAT14
ATF4	NAT6
ATF4	NDST4
ATF4	NDUFA7
ATF4	NDUFS5
ATF4	NDUFV1
ATF4	NECAP1
ATF4	NELFA
ATF4	NFKBID
ATF4	NOC4L
ATF4	NPPC
ATF4	NPY1R
ATF4	NRBF2
ATF4	NT5C1A
ATF4	OR2A14
ATF4	OR2AE1
ATF4	OR7E37P
ATF4	OSER1-AS1
ATF4	PABPN1L
ATF4	PARP14
ATF4	PCBP4
ATF4	PCED1A
ATF4	PDHA1
ATF4	PET100
ATF4	PFAS
ATF4	PGAP2
ATF4	PI4KAP2
ATF4	PINX1
ATF4	PPAN
ATF4	PPAN-P2RY11
ATF4	PTPRC
ATF4	PVT1
ATF4	QSOX2
ATF4	RAP1GAP
ATF4	RASSF1
ATF4	RASSF1-AS1
ATF4	RHOD
ATF4	RNF139
ATF4	RNF14
ATF4	RNF20
ATF4	RNU1-4
ATF4	RNVU1-14
ATF4	RPL24
ATF4	RPL26
ATF4	RPL31
ATF4	RPL37A
ATF4	RPL6
ATF4	RPL9
ATF4	RPLP2
ATF4	RPS13
ATF4	RPS29
ATF4	RPS9
ATF4	RSRP1
ATF4	SBDS
ATF4	SCFD2
ATF4	SDCBP2
ATF4	SEPT7P9
ATF4	SF1
ATF4	SF3B5
ATF4	SMIM3
ATF4	SNHG7
ATF4	SOX15
ATF4	SOX6
ATF4	SPATA2
ATF4	SPOP
ATF4	ST6GAL1
ATF4	TBCC
ATF4	TBP
ATF4	TEX29
ATF4	TMEM120B
ATF4	TMEM147
ATF4	TMEM242
ATF4	TMEM251
ATF4	TMEM51
ATF4	TNFRSF19
ATF4	TOPORS-AS1
ATF4	TRA2B
ATF4	TRIM39
ATF4	TTN-AS1
ATF4	TXNL4A
ATF4	UBE2Q2L
ATF4	UBE2S
ATF4	UMPS
ATF4	URM1
ATF4	WFDC2
ATF4	ZC3H10
ATF4	ZDHHC4
ATF4	ZFAND2A
ATF4	ZFAND2B
ATF4	ZNF295-AS1
ATF4	ZNF561
ATF4	ZNF574
ATF4	ZNF780A
ATF4	ZNF839
ATF4	AKAP2
ATF4	AKT2
ATF4	ALKBH3-AS1
ATF4	ANKRD18DP
ATF4	APOM
ATF4	ARMC12
ATF4	ASNS
ATF4	ATG101
ATF4	B3GNTL1
ATF4	B4GALT3
ATF4	BATF2
ATF4	BRCA1
ATF4	C19orf48
ATF4	C1orf100
ATF4	C6orf99
ATF4	C7orf55
ATF4	CALCB
ATF4	CASP8AP2
ATF4	CCDC144A
ATF4	CCDC144NL
ATF4	CCDC59
ATF4	CCDC83
ATF4	CCNL1
ATF4	CD164L2
ATF4	CDX2
ATF4	CLDN6
ATF4	CLTC
ATF4	CPLX1
ATF4	CRELD1
ATF4	CTIF
ATF4	CUX2
ATF4	DCAF12
ATF4	DCTD
ATF4	DDX3X
ATF4	DERL3
ATF4	DNAJB5-AS1
ATF4	DNER
ATF4	DRD4
ATF4	DSP
ATF4	DUSP2
ATF4	DXO
ATF4	ECEL1P2
ATF4	EFHD1
ATF4	EIF3D
ATF4	EIF4A1
ATF4	EIF4A2
ATF4	EIF5
ATF4	EIF5A
ATF4	ENSA
ATF4	EVA1A
ATF4	FAAP20
ATF4	FAM120B
ATF4	FAM177B
ATF4	FAM209B
ATF4	FAM74A6
ATF4	FBRS
ATF4	FIS1
ATF4	GOLGA6L3
ATF4	GOLGA8F
ATF4	HCG4B
ATF4	HIC1
ATF4	HMGN1
ATF4	HOOK3
ATF4	HS6ST2
ATF4	IER2
ATF4	IL17REL
ATF4	INHBC
ATF4	KCNH4
ATF4	LCE5A
ATF4	LINC-PINT
ATF4	LINC00211
ATF4	LINC00304
ATF4	LINC00484
ATF4	LINC00623
ATF4	LINC00862
ATF4	LINC00886
ATF4	LINC01578
ATF4	LZTS3
ATF4	MDGA2
ATF4	MEF2C
ATF4	METTL1
ATF4	MID1
ATF4	MIDN
ATF4	MPV17
ATF4	MRPL2
ATF4	MYLK2
ATF4	MZT2A
ATF4	NAPA-AS1
ATF4	NCBP2-AS2
ATF4	NCDN
ATF4	NELFE
ATF4	NFIL3
ATF4	OBFC1
ATF4	OR7D2
ATF4	OXNAD1
ATF4	P2RY1
ATF4	PARP6
ATF4	PART1
ATF4	PARVG
ATF4	PAX3
ATF4	PER1
ATF4	PIP5KL1
ATF4	PKIB
ATF4	PLEKHG5
ATF4	PLXNA2
ATF4	PMS2P1
ATF4	POP5
ATF4	PPARGC1B
ATF4	PPP2R2D
ATF4	PRKAR1A
ATF4	PRR35
ATF4	PRSS27
ATF4	PSME3
ATF4	PTENP1
ATF4	PTP4A1
ATF4	RAB40A
ATF4	RABEPK
ATF4	RANBP1
ATF4	RELA
ATF4	RMST
ATF4	RND1
ATF4	RNF223
ATF4	RNPS1
ATF4	RNU1-2
ATF4	RPS21
ATF4	RPS27A
ATF4	RRAD
ATF4	SIAH1
ATF4	SIVA1
